Timestamp,State,VTOL_Type,Altitude_m,Speed_ms,Cmd_Throttle,Cmd_Elevator,Cmd_Aileron,Cmd_Rudder
1774363146.469,INIT,MC,3.436,2.596,1.000,0.240,0.021,0.000
1774363146.520,INIT,MC,3.563,2.607,1.000,0.240,0.021,0.000
1774363146.570,INIT,MC,3.712,2.618,1.000,0.240,-0.067,0.000
1774363146.621,TAKEOFF,MC,3.840,2.629,1.000,0.240,-0.067,0.000
1774363146.672,TAKEOFF,MC,3.968,2.636,1.000,0.240,-0.067,0.000
1774363146.723,TAKEOFF,MC,4.117,2.646,1.000,0.240,-0.067,0.000
1774363146.774,TAKEOFF,MC,4.246,2.653,1.000,0.240,-0.067,0.000
1774363146.824,TAKEOFF,MC,4.375,2.661,1.000,0.240,-0.107,0.000
1774363146.875,TAKEOFF,MC,4.525,2.670,1.000,0.240,-0.107,0.000
1774363146.926,TAKEOFF,MC,4.656,2.679,1.000,0.240,-0.107,0.000
1774363146.977,TAKEOFF,MC,4.786,2.689,1.000,0.240,-0.107,0.000
1774363147.027,TAKEOFF,MC,4.938,2.699,1.000,0.240,-0.107,0.000
1774363147.078,TAKEOFF,MC,5.069,2.707,1.000,0.240,-0.092,0.000
1774363147.129,TAKEOFF,MC,5.200,2.715,1.000,0.240,-0.092,0.000
1774363147.180,TAKEOFF,MC,5.353,2.723,1.000,0.240,-0.092,0.000
1774363147.231,TAKEOFF,MC,5.484,2.730,1.000,0.240,-0.092,0.000
1774363147.282,TAKEOFF,MC,5.639,2.739,1.000,0.240,-0.092,0.000
1774363147.333,TAKEOFF,MC,5.771,2.747,1.000,0.240,-0.061,0.000
1774363147.383,TAKEOFF,MC,5.904,2.755,1.000,0.240,-0.061,0.000
1774363147.434,TAKEOFF,MC,6.059,2.763,1.000,0.240,-0.061,0.000
1774363147.485,TAKEOFF,MC,6.193,2.770,1.000,0.240,-0.061,0.000
1774363147.536,TAKEOFF,MC,6.326,2.775,1.000,0.240,-0.061,0.000
1774363147.587,TAKEOFF,MC,6.482,2.779,1.000,0.240,-0.025,0.000
1774363147.637,TAKEOFF,MC,6.615,2.785,1.000,0.240,-0.025,0.000
1774363147.688,TAKEOFF,MC,6.750,2.791,1.000,0.240,-0.025,0.000
1774363147.739,TAKEOFF,MC,6.909,2.796,1.000,0.240,-0.025,0.000
1774363147.790,TAKEOFF,MC,7.044,2.801,1.000,0.240,-0.025,0.000
1774363147.841,TAKEOFF,MC,7.180,2.803,1.000,0.240,0.001,0.000
1774363147.891,TAKEOFF,MC,7.338,2.805,1.000,0.240,0.001,0.000
1774363147.942,TAKEOFF,MC,7.473,2.810,1.000,0.240,0.001,0.000
1774363147.993,TAKEOFF,MC,7.609,2.813,1.000,0.240,0.001,0.000
1774363148.044,TAKEOFF,MC,7.767,2.816,1.000,0.240,0.001,0.000
1774363148.094,TAKEOFF,MC,7.903,2.819,1.000,0.240,0.017,0.000
1774363148.145,TAKEOFF,MC,8.040,2.839,1.000,0.240,0.017,0.000
1774363148.196,TAKEOFF,MC,8.202,2.883,1.000,0.240,0.017,0.000
1774363148.247,TAKEOFF,MC,8.341,2.909,1.000,0.240,0.017,0.000
1774363148.298,TAKEOFF,MC,8.482,2.923,1.000,0.240,0.017,0.000
1774363148.348,TAKEOFF,MC,8.647,2.930,1.000,0.240,0.028,0.000
1774363148.399,TAKEOFF,MC,8.788,2.931,1.000,0.240,0.028,0.000
1774363148.450,TAKEOFF,MC,8.929,2.931,1.000,0.240,0.028,0.000
1774363148.501,TAKEOFF,MC,9.094,2.932,1.000,0.240,0.028,0.000
1774363148.552,TAKEOFF,MC,9.236,2.936,1.000,0.240,0.028,0.000
1774363148.602,TAKEOFF,MC,9.401,2.938,1.000,0.240,0.028,0.000
1774363148.653,TAKEOFF,MC,9.542,2.939,1.000,0.240,0.028,0.000
1774363148.704,TAKEOFF,MC,9.684,2.939,1.000,0.240,0.028,0.000
1774363148.754,TAKEOFF,MC,9.825,2.942,1.000,0.240,0.028,0.000
1774363148.805,TAKEOFF,MC,9.990,2.944,1.000,0.240,0.028,0.000
1774363148.856,TAKEOFF,MC,10.132,2.944,1.000,0.240,0.037,0.000
1774363148.907,TAKEOFF,MC,10.299,2.946,1.000,0.240,0.037,0.000
1774363148.958,TAKEOFF,MC,10.442,2.947,1.000,0.240,0.037,0.000
1774363149.008,TAKEOFF,MC,10.609,2.948,1.000,0.240,0.037,0.000
1774363149.059,TAKEOFF,MC,10.728,2.950,1.000,0.240,0.037,0.000
1774363149.110,TAKEOFF,MC,10.895,2.951,1.000,0.240,0.039,0.000
1774363149.161,TAKEOFF,MC,11.038,2.953,1.000,0.240,0.039,0.000
1774363149.211,TAKEOFF,MC,11.181,2.953,1.000,0.240,0.039,0.000
1774363149.262,TAKEOFF,MC,11.348,2.953,1.000,0.240,0.039,0.000
