Episode,Total_Reward,Episode_Steps,Final_Altitude,Final_Speed
1,1045.0096846693777,500,110.81631469726562,22.05987900495529
2,1829.2739272745766,500,45.70032501220703,22.95314460992813
3,1844.2327920674225,500,105.84307098388672,22.360602021217346
4,1232.3904030124036,500,31.860027313232422,23.017120957374573
5,-1473.6668024514456,215,18.826601028442383,36.07982516288757
6,-1592.8974112829446,161,18.41288185119629,34.26353573799133
7,-1593.8666117567896,161,19.776229858398438,34.83968257904053
8,-1585.5537382401876,165,17.992664337158203,33.7904417514801
9,-1613.547874324469,157,19.252670288085938,34.067137241363525
10,-1604.8606338824397,160,19.47438621520996,33.49501848220825
11,-1558.4892404546147,192,19.43903160095215,35.32079815864563
