time,r,p,y,p_rate,q_rate,r_rate,r_d,p_d,y_d,ail,ele,rud,thr
1.77271e+09,0.305656,-0.0329191,1.49323,-0.00749032,-0.0544987,-0.186786,0.305594,-0.0320622,1.4901,-0.44,0.006,0.226,0.496
1.77271e+09,0.305608,-0.0327722,1.48474,-0.00790397,-0.0561367,-0.18653,0.305594,-0.0320622,1.4901,-0.44,0.006,0.226,0.496
1.77271e+09,0.305608,-0.0327722,1.48474,-0.00790397,-0.0561367,-0.18653,0.305594,-0.0320622,1.4901,-0.44,0.006,0.226,0.496
1.77271e+09,0.305616,-0.0327943,1.4816,-0.00900846,-0.0663095,-0.180414,0.305594,-0.0320622,1.4901,-0.44,0.006,0.226,0.496
1.77271e+09,0.305616,-0.0327943,1.4816,-0.00900846,-0.0663095,-0.180414,0.305594,-0.0320622,1.4901,-0.44,0.006,0.226,0.496
1.77271e+09,0.305668,-0.0328272,1.47302,-0.00338899,-0.0537999,-0.191792,0.305431,-0.0321939,1.47146,-0.44,0.006,0.232,0.496
1.77271e+09,0.305565,-0.0326702,1.46612,-0.0097778,-0.0552724,-0.187631,0.305431,-0.0321939,1.47146,-0.44,0.006,0.232,0.496
1.77271e+09,0.305565,-0.0326702,1.46612,-0.0097778,-0.0552724,-0.187631,0.305431,-0.0321939,1.47146,-0.44,0.006,0.232,0.496
1.77271e+09,0.305483,-0.0327523,1.46217,-0.00615702,-0.0609379,-0.188917,0.305431,-0.0321939,1.47146,-0.44,0.006,0.232,0.496
1.77271e+09,0.305483,-0.0327523,1.46217,-0.00615702,-0.0609379,-0.188917,0.305431,-0.0321939,1.47146,-0.44,0.006,0.232,0.496
1.77271e+09,0.305516,-0.0328403,1.45442,-0.00450774,-0.056845,-0.191378,0.305085,-0.0321313,1.45126,-0.44,0.008,0.222,0.495
1.77271e+09,0.305621,-0.0329575,1.44656,-0.00163733,-0.0567196,-0.180166,0.305085,-0.0321313,1.45126,-0.44,0.008,0.222,0.495
1.77271e+09,0.305621,-0.0329575,1.44656,-0.00163733,-0.0567196,-0.180166,0.305085,-0.0321313,1.45126,-0.44,0.008,0.222,0.495
1.77271e+09,0.305659,-0.0329819,1.44268,-0.00599396,-0.0589166,-0.182432,0.305085,-0.0321313,1.45126,-0.44,0.008,0.222,0.495
1.77271e+09,0.305659,-0.0329819,1.44268,-0.00599396,-0.0589166,-0.182432,0.305085,-0.0321313,1.45126,-0.44,0.008,0.222,0.495
1.77271e+09,0.305538,-0.0329841,1.43494,-0.0110273,-0.0585641,-0.18811,0.304776,-0.0320233,1.43254,-0.44,0.008,0.226,0.495
1.77271e+09,0.305448,-0.0329642,1.42628,-0.00913042,-0.0584513,-0.185903,0.304776,-0.0320233,1.43254,-0.44,0.008,0.226,0.495
1.77271e+09,0.305448,-0.0329642,1.42628,-0.00913042,-0.0584513,-0.185903,0.304776,-0.0320233,1.43254,-0.44,0.008,0.226,0.495
1.77271e+09,0.305433,-0.0330406,1.42311,-0.00515522,-0.0644691,-0.180238,0.304776,-0.0320233,1.43254,-0.44,0.008,0.226,0.495
1.77271e+09,0.305433,-0.0330406,1.42311,-0.00515522,-0.0644691,-0.180238,0.304776,-0.0320233,1.43254,-0.44,0.008,0.226,0.495
1.77271e+09,0.305355,-0.0331898,1.41462,-0.0105348,-0.0586829,-0.184742,0.304416,-0.0317843,1.41233,-0.44,0.008,0.228,0.495
1.77271e+09,0.305244,-0.0331259,1.40769,-0.00816194,-0.0590961,-0.189781,0.304416,-0.0317843,1.41233,-0.44,0.008,0.228,0.495
1.77271e+09,0.305244,-0.0331259,1.40769,-0.00816194,-0.0590961,-0.189781,0.304416,-0.0317843,1.41233,-0.44,0.008,0.228,0.495
1.77271e+09,0.305231,-0.0331313,1.40382,-0.00707778,-0.0637838,-0.183062,0.304416,-0.0317843,1.41233,-0.44,0.008,0.228,0.495
1.77271e+09,0.305231,-0.0331313,1.40382,-0.00707778,-0.0637838,-0.183062,0.304416,-0.0317843,1.41233,-0.44,0.008,0.228,0.495
1.77271e+09,0.305067,-0.0330564,1.39602,-0.0162786,-0.0539125,-0.182941,0.303897,-0.0317067,1.39373,-0.44,0.008,0.216,0.495
1.77271e+09,0.304902,-0.0331002,1.38824,-0.006689,-0.0531671,-0.183881,0.303897,-0.0317067,1.39373,-0.44,0.008,0.216,0.495
1.77271e+09,0.304902,-0.0331002,1.38824,-0.006689,-0.0531671,-0.183881,0.303897,-0.0317067,1.39373,-0.44,0.008,0.216,0.495
1.77271e+09,0.304925,-0.0330739,1.38356,-0.00823607,-0.0547479,-0.185723,0.303897,-0.0317067,1.39373,-0.44,0.008,0.216,0.495
1.77271e+09,0.304925,-0.0330739,1.38356,-0.00823607,-0.0547479,-0.185723,0.303897,-0.0317067,1.39373,-0.44,0.008,0.216,0.495
1.77271e+09,0.304779,-0.0330854,1.37664,-0.0127578,-0.062813,-0.187296,0.30348,-0.0317268,1.37355,-0.44,0.006,0.224,0.496
