time,r,p,y,p_rate,q_rate,r_rate,r_d,p_d,y_d,ail,ele,rud,thr
1772705985.981771,0.303053,-0.022269,-2.349982,-0.005534,-0.054854,-0.186411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1772705986.001781,0.303053,-0.022269,-2.349982,-0.005534,-0.054854,-0.186411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1772705986.021761,0.303018,-0.022231,-2.357713,-0.007863,-0.051430,-0.184625,0.302909,-0.021221,-2.360820,-0.438000,0.006000,0.224000,0.496000
1772705986.041721,0.303018,-0.022231,-2.357713,-0.007863,-0.051430,-0.184625,0.302909,-0.021221,-2.360820,-0.438000,0.006000,0.224000,0.496000
1772705986.061776,0.302924,-0.022167,-2.365478,-0.008424,-0.059661,-0.185036,0.302909,-0.021221,-2.360820,-0.438000,0.006000,0.224000,0.496000
1772705986.081767,0.302945,-0.022175,-2.370200,-0.000722,-0.059828,-0.190935,0.302909,-0.021221,-2.360820,-0.438000,0.006000,0.224000,0.496000
1772705986.101793,0.302945,-0.022175,-2.370200,-0.000722,-0.059828,-0.190935,0.302909,-0.021221,-2.360820,-0.438000,0.006000,0.224000,0.496000
1772705986.121776,0.303044,-0.022225,-2.377176,-0.003168,-0.054738,-0.192186,0.302980,-0.021198,-2.379532,-0.438000,0.006000,0.226000,0.496000
1772705986.141766,0.302839,-0.022219,-2.384920,-0.011780,-0.057135,-0.184891,0.302980,-0.021198,-2.379532,-0.438000,0.006000,0.226000,0.496000
1772705986.161771,0.302839,-0.022219,-2.384920,-0.011780,-0.057135,-0.184891,0.302980,-0.021198,-2.379532,-0.438000,0.006000,0.226000,0.496000
1772705986.181773,0.302843,-0.022203,-2.388780,-0.001796,-0.053624,-0.179280,0.302980,-0.021198,-2.379532,-0.438000,0.006000,0.226000,0.496000
1772705986.201780,0.302843,-0.022203,-2.388780,-0.001796,-0.053624,-0.179280,0.302980,-0.021198,-2.379532,-0.438000,0.006000,0.226000,0.496000
1772705986.221769,0.302881,-0.022214,-2.397389,-0.003757,-0.054769,-0.181472,0.302662,-0.021218,-2.399741,-0.438000,0.008000,0.222000,0.495000
